id,name,sort_order
1,--,1
2,Argentina,9
3,Armenia,38
4,Australia,10
5,Austria,16
6,Bolivia,46
7,Bosnia & Herzegovina,24
8,Brazil,44
9,Bulgaria,21
10,Canada,42
11,Chile,8
12,China,36
13,Croatia,23
14,Cyprus,31
15,Czech Republic,28
16,England,18
17,France,2
18,Georgia,15
19,Germany,5
20,Greece,14
21,Hungary,20
22,India,37
23,Israel,32
24,Italy,3
25,Lebanon,33
26,Luxembourg,17
27,Macedonia,25
28,Mexico,43
29,Moldova,39
30,Montenegro,27
31,New Zealand,11
32,North Africa,35
33,Peru,47
34,Portugal,6
35,Romania,30
36,Russia,40
37,Serbia,26
38,Slovak Republic,29
39,Slovenia,22
40,South Africa,12
41,Spain,4
42,Switzerland,19
43,Turkey,34
44,Ukraine,41
45,United States,7
46,Uruguay,45
47,日本,13